"id","name","name@es","name@ca","country_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id"
"fp_rebu_particular","REBU - Purchase from Private Individual","REBU - Compra a Particular (0%)","REBU - Compra a Particular (0%)","","account_tax_template_p_iva0_bc","account_tax_template_p_rebu_particular","",""
"","","","","","account_tax_template_p_iva0_sc","account_tax_template_p_rebu_particular","",""
"fp_rebu_artist","REBU - Purchase from Artist","REBU - Compra a Artista Original (10%)","REBU - Compra a Artista Original (10%)","","account_tax_template_p_iva10_bc","account_tax_template_p_rebu_artist","",""
"","","","","","account_tax_template_p_iva10_sc","account_tax_template_p_rebu_artist","",""
"fp_rebu_sale","REBU - Sales of Used Artistic Goods","REBU - Bienes Usados Artísticos (Venta 21%)","REBU - Béns Usats Artístics (Venta 21%)","","account_tax_template_p_iva4_bc","account_tax_template_s_rebu0","",""
"","","","","","account_tax_template_p_iva4_sc","account_tax_template_s_rebu0","",""
"","","","","","account_tax_template_p_iva10_bc","account_tax_template_s_rebu0","",""
"","","","","","account_tax_template_p_iva10_sc","account_tax_template_s_rebu0","",""
"","","","","","account_tax_template_p_iva21_bc","account_tax_template_s_rebu0","",""
"","","","","","account_tax_template_p_iva21_sc","account_tax_template_s_rebu0","",""
"","","","","","account_tax_template_p_iva0_bc","account_tax_template_s_rebu0","",""
"","","","","","account_tax_template_s_iva4b","account_tax_template_s_rebu0","",""
"","","","","","account_tax_template_s_iva4s","account_tax_template_s_rebu0","",""
"","","","","","account_tax_template_s_iva10b","account_tax_template_s_rebu0","",""
"","","","","","account_tax_template_s_iva10s","account_tax_template_s_rebu0","",""
"","","","","","account_tax_template_s_iva21b","account_tax_template_s_rebu0","",""
"","","","","","account_tax_template_s_iva21s","account_tax_template_s_rebu0","",""
